id,title,difficulty,paidOnly,url,focus_tags,done,note
1,Two Sum,EASY,False,https://leetcode.com/problems/two-sum/,agg-ranking,,
9,Palindrome Number,EASY,False,https://leetcode.com/problems/palindrome-number/,basic-math,,
13,Roman to Integer,EASY,False,https://leetcode.com/problems/roman-to-integer/,basic-math,,
20,Valid Parentheses,EASY,False,https://leetcode.com/problems/valid-parentheses/,data-cleaning,,
26,Remove Duplicates from Sorted Array,EASY,False,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,data-cleaning,,
27,Remove Element,EASY,False,https://leetcode.com/problems/remove-element/,data-cleaning,,
66,Plus One,EASY,False,https://leetcode.com/problems/plus-one/,basic-math,,
67,Add Binary,EASY,False,https://leetcode.com/problems/add-binary/,basic-math,,
69,Sqrt(x),EASY,False,https://leetcode.com/problems/sqrtx/,basic-math,,
83,Remove Duplicates from Sorted List,EASY,False,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,data-cleaning,,
94,Binary Tree Inorder Traversal,EASY,False,https://leetcode.com/problems/binary-tree-inorder-traversal/,basic-math,,
104,Maximum Depth of Binary Tree,EASY,False,https://leetcode.com/problems/maximum-depth-of-binary-tree/,"agg-ranking,basic-math",,
108,Convert Sorted Array to Binary Search Tree,EASY,False,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,basic-math,,
110,Balanced Binary Tree,EASY,False,https://leetcode.com/problems/balanced-binary-tree/,basic-math,,
111,Minimum Depth of Binary Tree,EASY,False,https://leetcode.com/problems/minimum-depth-of-binary-tree/,"agg-ranking,basic-math",,
112,Path Sum,EASY,False,https://leetcode.com/problems/path-sum/,agg-ranking,,
125,Valid Palindrome,EASY,False,https://leetcode.com/problems/valid-palindrome/,"data-cleaning,basic-math",,
144,Binary Tree Preorder Traversal,EASY,False,https://leetcode.com/problems/binary-tree-preorder-traversal/,basic-math,,
145,Binary Tree Postorder Traversal,EASY,False,https://leetcode.com/problems/binary-tree-postorder-traversal/,basic-math,,
163,Missing Ranges,EASY,True,https://leetcode.com/problems/missing-ranges/,data-cleaning,,
170,Two Sum III - Data structure design,EASY,True,https://leetcode.com/problems/two-sum-iii-data-structure-design/,agg-ranking,,
182,Duplicate Emails,EASY,False,https://leetcode.com/problems/duplicate-emails/,data-cleaning,,
183,Customers Who Never Order,EASY,False,https://leetcode.com/problems/customers-who-never-order/,tabular-business,,
191,Number of 1 Bits,EASY,False,https://leetcode.com/problems/number-of-1-bits/,agg-ranking,,
193,Valid Phone Numbers,EASY,False,https://leetcode.com/problems/valid-phone-numbers/,data-cleaning,,
196,Delete Duplicate Emails,EASY,False,https://leetcode.com/problems/delete-duplicate-emails/,data-cleaning,,
203,Remove Linked List Elements,EASY,False,https://leetcode.com/problems/remove-linked-list-elements/,data-cleaning,,
217,Contains Duplicate,EASY,False,https://leetcode.com/problems/contains-duplicate/,data-cleaning,,
219,Contains Duplicate II,EASY,False,https://leetcode.com/problems/contains-duplicate-ii/,data-cleaning,,
222,Count Complete Tree Nodes,EASY,False,https://leetcode.com/problems/count-complete-tree-nodes/,agg-ranking,,
226,Invert Binary Tree,EASY,False,https://leetcode.com/problems/invert-binary-tree/,basic-math,,
231,Power of Two,EASY,False,https://leetcode.com/problems/power-of-two/,basic-math,,
234,Palindrome Linked List,EASY,False,https://leetcode.com/problems/palindrome-linked-list/,basic-math,,
242,Valid Anagram,EASY,False,https://leetcode.com/problems/valid-anagram/,data-cleaning,,
257,Binary Tree Paths,EASY,False,https://leetcode.com/problems/binary-tree-paths/,basic-math,,
258,Add Digits,EASY,False,https://leetcode.com/problems/add-digits/,basic-math,,
266,Palindrome Permutation,EASY,True,https://leetcode.com/problems/palindrome-permutation/,basic-math,,
268,Missing Number,EASY,False,https://leetcode.com/problems/missing-number/,data-cleaning,,
270,Closest Binary Search Tree Value,EASY,True,https://leetcode.com/problems/closest-binary-search-tree-value/,basic-math,,
303,Range Sum Query - Immutable,EASY,False,https://leetcode.com/problems/range-sum-query-immutable/,agg-ranking,,
326,Power of Three,EASY,False,https://leetcode.com/problems/power-of-three/,basic-math,,
342,Power of Four,EASY,False,https://leetcode.com/problems/power-of-four/,basic-math,,
346,Moving Average from Data Stream,EASY,True,https://leetcode.com/problems/moving-average-from-data-stream/,"stats-prob,time-series,kpi-metrics",,
359,Logger Rate Limiter,EASY,True,https://leetcode.com/problems/logger-rate-limiter/,"stats-prob,kpi-metrics",,
367,Valid Perfect Square,EASY,False,https://leetcode.com/problems/valid-perfect-square/,data-cleaning,,
387,First Unique Character in a String,EASY,False,https://leetcode.com/problems/first-unique-character-in-a-string/,data-cleaning,,
401,Binary Watch,EASY,False,https://leetcode.com/problems/binary-watch/,basic-math,,
404,Sum of Left Leaves,EASY,False,https://leetcode.com/problems/sum-of-left-leaves/,agg-ranking,,
408,Valid Word Abbreviation,EASY,True,https://leetcode.com/problems/valid-word-abbreviation/,data-cleaning,,
409,Longest Palindrome,EASY,False,https://leetcode.com/problems/longest-palindrome/,basic-math,,
414,Third Maximum Number,EASY,False,https://leetcode.com/problems/third-maximum-number/,agg-ranking,,
415,Add Strings,EASY,False,https://leetcode.com/problems/add-strings/,basic-math,,
422,Valid Word Square,EASY,True,https://leetcode.com/problems/valid-word-square/,data-cleaning,,
434,Number of Segments in a String,EASY,False,https://leetcode.com/problems/number-of-segments-in-a-string/,agg-ranking,,
485,Max Consecutive Ones,EASY,False,https://leetcode.com/problems/max-consecutive-ones/,time-series,,
501,Find Mode in Binary Search Tree,EASY,False,https://leetcode.com/problems/find-mode-in-binary-search-tree/,"stats-prob,basic-math",,
530,Minimum Absolute Difference in BST,EASY,False,https://leetcode.com/problems/minimum-absolute-difference-in-bst/,agg-ranking,,
543,Diameter of Binary Tree,EASY,False,https://leetcode.com/problems/diameter-of-binary-tree/,basic-math,,
559,Maximum Depth of N-ary Tree,EASY,False,https://leetcode.com/problems/maximum-depth-of-n-ary-tree/,agg-ranking,,
563,Binary Tree Tilt,EASY,False,https://leetcode.com/problems/binary-tree-tilt/,basic-math,,
577,Employee Bonus,EASY,False,https://leetcode.com/problems/employee-bonus/,"kpi-metrics,tabular-business",,
584,Find Customer Referee,EASY,False,https://leetcode.com/problems/find-customer-referee/,tabular-business,,
586,Customer Placing the Largest Number of Orders,EASY,False,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders/,"agg-ranking,tabular-business",,
596,Classes With at Least 5 Students,EASY,False,https://leetcode.com/problems/classes-with-at-least-5-students/,agg-ranking,,
597,Friend Requests I: Overall Acceptance Rate,EASY,True,https://leetcode.com/problems/friend-requests-i-overall-acceptance-rate/,"stats-prob,kpi-metrics",,
599,Minimum Index Sum of Two Lists,EASY,False,https://leetcode.com/problems/minimum-index-sum-of-two-lists/,agg-ranking,,
603,Consecutive Available Seats,EASY,True,https://leetcode.com/problems/consecutive-available-seats/,time-series,,
607,Sales Person,EASY,False,https://leetcode.com/problems/sales-person/,tabular-business,,
617,Merge Two Binary Trees,EASY,False,https://leetcode.com/problems/merge-two-binary-trees/,basic-math,,
628,Maximum Product of Three Numbers,EASY,False,https://leetcode.com/problems/maximum-product-of-three-numbers/,"agg-ranking,tabular-business",,
637,Average of Levels in Binary Tree,EASY,False,https://leetcode.com/problems/average-of-levels-in-binary-tree/,"stats-prob,kpi-metrics,basic-math",,
643,Maximum Average Subarray I,EASY,False,https://leetcode.com/problems/maximum-average-subarray-i/,"stats-prob,agg-ranking,kpi-metrics",,
653,Two Sum IV - Input is a BST,EASY,False,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/,agg-ranking,,
671,Second Minimum Node In a Binary Tree,EASY,False,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree/,"agg-ranking,basic-math",,
674,Longest Continuous Increasing Subsequence,EASY,False,https://leetcode.com/problems/longest-continuous-increasing-subsequence/,time-series,,
680,Valid Palindrome II,EASY,False,https://leetcode.com/problems/valid-palindrome-ii/,"data-cleaning,basic-math",,
693,Binary Number with Alternating Bits,EASY,False,https://leetcode.com/problems/binary-number-with-alternating-bits/,basic-math,,
696,Count Binary Substrings,EASY,False,https://leetcode.com/problems/count-binary-substrings/,"agg-ranking,basic-math",,
700,Search in a Binary Search Tree,EASY,False,https://leetcode.com/problems/search-in-a-binary-search-tree/,basic-math,,
